Localidades  Islas,,,,,,,
Localidades ubicadas en un municipio y  administrativamente pertenecen a otro municipio        ,,,,,,,
"MARCO GEOESTADÍSTICO, JUNIO 2018   ",,,,,,,
Pertenencia Administrativa,,,,,Ubicación  Espacial,,
Clave de entidad,Clave de municipio,Clave de localidad,Clave de ageb,Nombre  de  localidad,Clave de entidad,Clave de municipio,Nombre  de  localidad
7,13,7,002A,Allende Esquipulas,7,47,Jitotol
7,13,124,002A,San José Mujular,7,73,Rayón
7,16,299,110,Cuauhtemoc Quemado,7,65,Palenque
7,22,32,29,Tzomoltón,7,26,Chenalhó
7,23,12,26,Callejón,7,49,Larráinzar
7,23,100,30,Jomtealhó,7,56,Mitontic
7,23,112,30,Rasién,7,78,San Cristóbal de las Casas
7,23,113,30,Tichen,7,26,Chenalhó
7,23,127,30,Bashequen,7,26,Chenalhó
7,33,4,37,Azapac Amatal,7,92,Tecpatán
7,33,29,37,Paraíso,7,92,Tecpatán
7,39,48,45,El Ocotal,7,81,Simojovel
7,41,566,62,El Porvenir,7,52,Las Margaritas
7,41,572,128,Santa Martha,7,99,La Trinitaria
7,47,153,32,El Sumidero (Campo Alegre),7,14,El Bosque
7,52,312,030A,Santa Margarita Agua Azul,7,115,Maravilla Tenejapa
7,52,335,023A,San Mateo Zapotal,7,115,Maravilla Tenejapa
7,52,464,329,San Rafael,7,41,La Independencia
7,52,869,333,La Esmeralda de los Cipreses,7,41,La Independencia
7,52,902,136,Victórico R. Grajales,7,4,Altamirano
7,55,5,15,Los Hules,7,102,Tuxtla Chico
7,57,575,62,La Ceiba,7,103,Tuzantán
7,59,2054,917,Emiliano Zapata,7,52,Las Margaritas
7,59,2981,245,La Flor de Getzemaní,7,31,Chilón
7,68,102,28,Platanar Abajo 2da. Sección (Unidad Chiapaneca),27,8,Huimanguillo
7,75,36,56,San Mateo,7,19,Comitán de Domínguez
7,76,127,002A,San Juan el Mirador,7,39,Huitiupán
7,81,271,002A,Jotolchén Dos (Planada Naranjal),7,118,San Andrés Duraznal
7,81,301,34,Río Blanco,7,66,Pantelhó
7,81,309,49,El Sabinal,7,14,El Bosque
7,81,311,34,Tepeyac,7,66,Pantelhó
7,81,364,49,Guadalupe Victoria I,7,14,El Bosque
7,83,197,81,Tierra y Libertad,7,104,Tzimol
7,83,210,81,San Pedro Pedernal,7,104,Tzimol
7,89,1018,297,Dorados de Villa,7,54,Mazatán
7,97,1527,212,"Isla, Mar y Tierra",7,69,Pijijiapan
7,99,1044,96,Nuevo Paraíso,7,52,Las Margaritas
7,100,63,46,Arroyo Agua Azul,7,31,Chilón
7,103,215,14,Villa Hidalgo,7,89,Tapachula
7,112,34,32,San Juan Bawitz,7,31,Chilón
7,118,3,21,Jotolchén,7,81,Simojovel
12,1,242,2045,Bella Vista Papagayo,12,53,San Marcos
12,1,493,2045,La Arena,12,53,San Marcos
12,1,680,1916,Rancho Alfonso Catalán,12,21,Coyuca de Benítez
12,1,694,1992,Rancho el Tamarindillo,12,53,San Marcos
12,2,157,014A,La Lobera,12,45,Olinalá
12,2,182,173,Naranjastitlán,12,45,Olinalá
12,3,7,452,Barranca Honda,12,54,San Miguel Totolapan
12,3,8,310,Cacahuananche,12,22,Coyuca de Catalán
12,3,160,452,El Zapotal,12,54,San Miguel Totolapan
12,3,195,452,Pinzanal,12,54,San Miguel Totolapan
12,3,198,033A,San Marcos Oriente,12,54,San Miguel Totolapan
12,3,228,310,Palos Grandes,12,22,Coyuca de Catalán
12,3,229,344,Santa María Santa Fe,12,22,Coyuca de Catalán
12,3,243,518,Puerto de la Sangrinaria,12,57,Técpan de Galeana
12,3,255,518,La Sanguinaria,12,57,Técpan de Galeana
12,4,3,93,Ahuejutla,12,69,Xalpatláhuac
12,4,14,125,Petlacalancingo,12,69,Xalpatláhuac
12,4,41,013A,San Miguelito,12,43,Metlatónoc
12,6,53,261,El Ciruelo,12,32,General Heliodoro Castillo
12,6,54,261,El Aguacate,12,32,General Heliodoro Castillo
12,6,56,257,El Calguaje,12,54,San Miguel Totolapan
12,6,70,276,Pueblo Nuevo Santa María,12,26,Cuetzala del Progreso
12,6,82,257,Las Garzas,12,32,General Heliodoro Castillo
12,6,85,219,Pata de Burro,12,58,Teloloapan
12,8,39,143,Agua Salada,12,34,Huitzuco de los Figueroa
12,8,40,143,Las Joyas,12,34,Huitzuco de los Figueroa
12,8,41,143,San Juan Teocalcingo,12,34,Huitzuco de los Figueroa
12,9,4,47,Cuautipan,12,69,Xalpatláhuac
12,10,103,118,Vista Hermosa,12,66,Tlapa de Comonfort
12,10,105,141,Luis Donaldo Colosio Murrieta,12,72,Zapotitlán Tablas
12,10,108,137,Vicente Guerrero,12,72,Zapotitlán Tablas
12,11,166,280,Los Cimientos (Las Minas),12,57,Técpan de Galeana
12,11,171,280,Colonia Piedra Parada,12,57,Técpan de Galeana
12,11,236,295,La Sidra,12,14,Benito Juárez
12,11,238,261,Ejido el Tambor,12,32,General Heliodoro Castillo
12,11,283,312,El Ojo de Agua,12,21,Coyuca de Benítez
12,11,284,312,Colonia Benito Juárez (El Posquelite),12,21,Coyuca de Benítez
12,11,303,261,La Granada,12,32,General Heliodoro Castillo
12,11,311,257,Las Tunas,12,21,Coyuca de Benítez
12,11,342,257,Cerro Azul (Puerto los Pinos),12,21,Coyuca de Benítez
12,12,92,017A,Plan de Gatica,12,76,Acatepec
12,12,120,017A,Río Velero,12,76,Acatepec
12,12,151,017A,Los Amates,12,76,Acatepec
12,12,153,017A,Tlacuache,12,76,Acatepec
12,12,163,017A,Ciénega del Sauce,12,76,Acatepec
12,12,165,017A,Nueva Jerusalén,12,76,Acatepec
12,12,166,017A,El Parotillo,12,76,Acatepec
12,12,184,017A,La Palma Nuevo Paraíso,12,76,Acatepec
12,14,98,85,Rancho Viejo,12,57,Técpan de Galeana
12,15,31,97,Los Sauces,12,34,Huitzuco de los Figueroa
12,15,46,97,Las Enramadas,12,34,Huitzuco de los Figueroa
12,18,68,65,La Loma del Chivo,12,25,Cuautepec
12,19,22,113,Ciruelo Amarillo,12,45,Olinalá
12,19,29,113,El Tamarindo,12,45,Olinalá
12,19,57,113,Zacualpa,12,45,Olinalá
12,19,74,96,El Establo,12,8,Atenango del Río
12,19,80,113,El Guaje (El Portezuelo),12,2,Ahuacuotzingo
12,20,58,82,Crucero de Santa Cruz,12,69,Xalpatláhuac
12,21,244,323,La Carbonera,12,1,Acapulco de Juárez
12,21,255,380,Santa Cruz de Mitla,12,14,Benito Juárez
12,22,63,710,Las Palancas,12,3,Ajuchitlán del Progreso
12,22,461,763,Barranca del Sereno,12,48,Petatlán
12,22,473,710,Los Bayados,12,3,Ajuchitlán del Progreso
12,22,571,509,La Lagunita,12,73,Zirándaro
12,22,602,710,Santa Clara (Santa Clara del Cobre),12,3,Ajuchitlán del Progreso
12,22,707,509,El Zarzal,12,38,Zihuatanejo de Azueta
12,22,713,763,Corralitos,12,48,Petatlán
12,22,716,763,La Patacua,12,48,Petatlán
12,22,717,763,El Soyamiche,12,48,Petatlán
12,22,732,763,La Fronterita,12,48,Petatlán
12,23,220,262,Rancho Mario Navarrete,12,13,Azoyú
12,23,275,296,La Haciendita,12,13,Azoyú
12,24,87,151,Rancho el Terrero,12,66,Tlapa de Comonfort
12,24,90,151,Tzicatlacotla,12,66,Tlapa de Comonfort
12,25,31,197,Estero del Marquez (Cachumbo),12,30,Florencio Villarreal
12,25,39,182,La Ceiba,12,18,Copala
12,25,49,178,Fábrica Vieja,12,12,Ayutla de los Libres
12,25,51,197,La Soledad,12,30,Florencio Villarreal
12,28,208,324,Buena Vista de las Pilas,12,79,José Joaquín de Herrera
12,29,30,904,Carrizal de la Vía,12,39,Juan R. Escudero
12,29,97,779,Colonia General Heliodoro Castillo (Chicahuales),12,32,General Heliodoro Castillo
12,29,408,891,Las Enramadas (Rancho las Enramadas),12,44,Mochitlán
12,29,421,849,Zeutla,12,21,Coyuca de Benítez
12,29,448,779,Las Canoitas,12,32,General Heliodoro Castillo
12,32,315,350,Corralitos (El Banco de Grava),12,54,San Miguel Totolapan
12,32,338,346,Monte Grande,12,6,Apaxtla
12,32,401,350,Las Palomas,12,40,Leonardo Bravo
12,35,5,598,Colonia el Carmen,12,55,Taxco de Alarcón
12,35,37,649,El Tercer Mundo,12,59,Tepecoacuilco de Trujano
12,35,197,598,Colonia Ernesto Che Guevara (La Che Guevara),12,58,Teloloapan
12,36,8,82,La Reforma,12,13,Azoyú
12,36,24,63,Chimalapa,12,43,Metlatónoc
12,36,31,82,El Mango,12,13,Azoyú
12,38,242,369,Mesas de Miramar,12,22,Coyuca de Catalán
12,38,310,369,El Pitero,12,22,Coyuca de Catalán
12,39,44,205,San Juan del Reparo Norte (San Juan del Reparo),12,53,San Marcos
12,39,45,205,San Juan del Reparo Sur (San Juan del Reparo),12,53,San Marcos
12,39,56,205,Chacalapa de Bravos,12,53,San Marcos
12,39,58,205,Las Partidas,12,53,San Marcos
12,40,328,263,Los Paredones,12,75,Eduardo Neri
12,41,75,222,Xkua Xtuti,12,20,Copanatoyac
12,41,113,241,Cerro el Timbre (Portezuelo la Ciénega),12,63,Tlacoapa
12,41,124,222,San Juan de las Nieves,12,20,Copanatoyac
12,41,154,222,Cerro Tlalixtatepec,12,20,Copanatoyac
12,41,156,222,Filo del Gavilán (Barranca de los Muertos),12,20,Copanatoyac
12,42,23,234,Teocalipa,12,75,Eduardo Neri
12,43,125,301,Lagunas,12,4,Alcozauca de Guerrero
12,43,131,316,Río San Martín,12,9,Atlamajalcingo del Monte
12,43,192,335,Doyo Kutu'ndii,12,81,Iliatenco
12,43,246,316,Yoso Ndavi,12,41,Malinaltepec
12,44,53,021A,La Villita,12,61,Tixtla de Guerrero
12,45,114,293,El Crucero Tecosajca,12,2,Ahuacuotzingo
12,45,137,310,Rancho Ismael Patrón,12,24,Cualác
12,45,205,026A,Las Anonas,12,2,Ahuacuotzingo
12,45,208,306,Cerro de las Campanas,12,24,Cualác
12,45,234,026A,Rancho Antonino García,12,2,Ahuacuotzingo
12,45,272,310,Rufino Abarca,12,24,Cualác
